node_id_from,node_id_to,cost,cost_0,alpha,beta,long_from,lat_from,long_to,lat_to,flow_capacity
23,0,0.6759999977600001,0.6759999977600001,0.64,5.4,151.22481867013875,-33.88896011342243,151.1912528066141,-33.912128260053464,12000.0
29,0,2.7499999892,2.7499999892,0.55,5.5,151.1475439052453,-33.94773897510431,151.1912528066141,-33.912128260053464,6000.0
33,0,1.2599999868,1.2599999868,1.0,5.0,151.19366151364946,-33.87547145005256,151.1912528066141,-33.912128260053464,6367.08860358917
35,0,1.625999987,1.625999987,0.32500000000000007,5.75,151.21345667373606,-33.94349483267056,151.1912528066141,-33.912128260053464,16162.1621632122
53,0,2.7959999922,2.7959999922,1.0,5.0,151.14346321576653,-33.88778305078269,151.1912528066141,-33.912128260053464,3302.4691363988
0,23,0.9567999992,0.9567999992,0.82,5.2,151.19124573783208,-33.91213549695233,151.22481218653937,-33.888941809944015,11000.0
33,23,0.6919999965333333,0.6919999965333333,0.4000000000000001,5.666666666666667,151.19366151364946,-33.87547145005256,151.22481218653937,-33.888941809944015,9500.0
35,23,2.1779999916,2.1779999916,1.0,5.0,151.21345667373606,-33.94349483267056,151.22481218653937,-33.888941809944015,4484.96240223303
40,23,8.8500000324,8.8500000324,1.0,5.0,151.26230790039324,-33.80545320676786,151.22481218653937,-33.888941809944015,3994.73729579678
0,29,2.7439999892,2.7439999892,0.55,5.5,151.19124573783208,-33.91213549695233,151.14754648778552,-33.94773901407395,6000.0
8,29,3.8969999831999997,3.8969999831999997,0.775,5.25,151.08813489986295,-33.939757026047964,151.14754648778552,-33.94773901407395,8936.61971737255
35,29,1.4544363633170199,1.4544363633170199,0.1,6.0,151.21345667373606,-33.94349483267056,151.14754648778552,-33.94773901407395,4671.650373486379
44,29,3.8879999796,3.8879999796,1.0,5.0,151.11730271852275,-33.998145263485526,151.14754648778552,-33.94773901407395,7000.0
0,33,1.4099999934,1.4099999934,1.0,5.0,151.19124573783208,-33.91213549695233,151.19384053969424,-33.87541288763124,6029.42626289091
9,33,1.4039999916,1.4039999916,0.1,6.0,151.20995867886333,-33.832073919867625,151.19384053969424,-33.87541288763124,10178.57144059767
23,33,0.7213333272,0.7213333272,0.4000000000000001,5.666666666666667,151.22481867013875,-33.88896011342243,151.19384053969424,-33.87541288763124,12797.945201327639
30,33,0.7439999988,0.7439999988,1.0,5.0,151.14815926277524,-33.84227527460925,151.19384053969424,-33.87541288763124,4000.0
53,33,1.8150000126,1.8150000126,1.0,5.0,151.14346321576653,-33.88778305078269,151.19384053969424,-33.87541288763124,9250.00000028409
0,35,1.625999987,1.625999987,0.32500000000000007,5.75,151.19124573783208,-33.91213549695233,151.2134591559576,-33.943494869186964,16162.1621632122
23,35,2.1779999916,2.1779999916,1.0,5.0,151.22481867013875,-33.88896011342243,151.2134591559576,-33.943494869186964,4045.1127820227302
29,35,1.432,1.432,0.1,6.0,151.1475439052453,-33.94773897510431,151.2134591559576,-33.943494869186964,7500.0
0,53,2.8859999946,2.8859999946,1.0,5.0,151.19124573783208,-33.91213549695233,151.14345096308247,-33.88782580582912,3152.70680867955
8,53,3.2760000095999997,3.2760000095999997,1.0,5.0,151.08813489986295,-33.939757026047964,151.14345096308247,-33.88782580582912,2000.0
30,53,4.607999994,4.607999994,1.0,5.0,151.14815926277524,-33.84227527460925,151.14345096308247,-33.88782580582912,2000.0
33,53,1.8150000126,1.8150000126,1.0,5.0,151.19366151364946,-33.87547145005256,151.14345096308247,-33.88782580582912,9250.00000028409
36,53,3.5760000020000002,3.5760000020000002,1.0,5.0,151.07739273702276,-33.87019512491017,151.14345096308247,-33.88782580582912,7408.23970179551
22,1,3.42200002,3.42200002,0.55,5.5,150.8790034512173,-33.95592373900543,150.9250061311149,-33.932767485278156,6000.0
