i_node,j_node,OD
0,1,34.855150017999996
0,2,23.025400041000005
0,3,80.01364999599998
0,4,11.436300009
0,5,64.07374999
0,6,3.0461500019999996
0,7,222.39920000099997
0,8,46.31399999999999
0,9,1.9127000020000002
0,10,248.22949988500008
0,11,102.79185000899997
0,12,118.95894995100001
0,13,16.422150007000003
0,14,11.288050023000002
0,15,44.64040000000001
0,16,7.712300006999999
0,17,9.2035
0,18,6.029600002
0,19,13.567100001000004
0,20,1.5347000000000002
0,21,14.194600002000001
0,22,65.52905000400001
0,23,374.38489985099994
0,24,34.108300026000016
0,25,60.125249987
0,26,3.600650008
0,27,42.964050031
0,28,43.21975001299999
0,29,11.215199997999997
0,30,20.452950031999997
0,31,674.2709497100001
0,32,81.54984996700001
0,33,12.823950002000002
0,34,6.062299996
0,35,69.71199999500003
0,36,71.29730007000002
0,37,2.6980500019999996
0,38,45.842100067
0,39,27.012299984000002
0,40,1.497450002
0,41,0.48245
0,42,14.109899999999996
0,43,2.4135
0,44,25.932600061000002
0,45,135.55124993899997
0,46,49.21845001
0,47,904.6354996049997
0,48,44.443999999999996
0,49,61.900500003
0,50,20.750700000000005
0,51,15.803300001
0,52,1.8050500019999998
0,53,85.66445000000003
0,54,87.80219998000001
0,55,6.807800011999997
0,56,0.52625
0,57,86.396899991
0,58,114.91999997700002
0,59,6.907400006000002
0,60,1.32465
0,61,72.25809998400001
0,62,23.8748
0,63,56.124899988
0,64,668.1988496529999
0,65,121.98709999000003
0,66,19.672550000999998
0,67,15.215799999999998
0,68,4.4547
0,69,117.901999956
0,70,0.25475
0,71,28.276650026
0,72,10.303750001000001
0,73,29.729550043999996
0,74,17.56899998500001
0,75,44.404950047000014
0,76,30.219149982000012
0,77,373.140699791
0,78,4.578750011
0,79,30.530500001999997
1,0,10.604050000000003
1,2,4.876700005000001
1,3,16.758449999999996
1,4,31.161550008
1,5,4.2128499999999995
1,6,2.1136000029999997
1,7,29.199499999999997
1,8,2.2478000000000002
1,9,55.500400042
1,10,1.216
1,11,16.76915
1,12,2.6322
1,13,64.37765001199999
1,14,1.8344
1,15,5.5943999999999985
1,16,4.778100004
1,17,5.2318999999999996
1,18,10.329100017
1,19,1.16405
1,20,4.2797
1,21,1.6685500000000002
1,22,36.67100000199998
1,23,9.40825
1,24,21.361600024999998
1,25,1.6069997350000003
1,26,0.19039999999999999
1,27,8.289900005
1,28,29.721300004
1,29,0.15814999999999999
1,30,650.5271506339999
1,31,12.76795
1,32,6.473749999999999
1,33,10.572400001
1,34,0.75995
1,35,5.3165000000000004
1,36,142.192650042
1,37,78.172400068
1,38,384.14225044499995
1,39,4.892799897
1,40,1.021050003
1,41,32.567550009
1,42,6.41015
1,43,46.746350011000004
1,44,3.248350001
1,45,2.71505
1,46,3.6307
1,47,9.7926
1,48,8.124300001
1,49,24.790550001000003
1,50,5.3792
1,51,2.6522000000000006
1,52,72.202850027
1,53,30.535449999999987
1,54,6.142650000000001
1,55,1.8047000020000004
1,56,0.09915
1,57,4.265000000000001
1,58,1.601199819
1,59,387.03000036599997
1,60,21.715850002
1,61,2.96305
1,62,5.40255
1,63,0.634599852
1,64,11.30225
1,65,8.904250000000001
1,66,12.750649999999998
1,67,4.142250001
1,68,35.000300001
1,69,3.348699919
1,70,22.970200006
1,71,7.95165001
1,72,2.24685
